Monument;Longitude;Latitude
JFK Airport;-73.78052637912806;40.64882284784429
LaGuardia Airport;-73.87519526267177;40.77933977766016
Empire State Building;-73.98579603285894;40.750382751578194
Times Square;-73.98578088285028;40.75886295428333
Dumbo;-73.98952326116225;40.70350209328238
City Island;-73.78429392423176;40.8408848796876
Yankee Stadium;-73.92611993388972;40.83021269637938
Staten Island Zoo;-74.11556150033175;40.62688196952161
Bronx Zoo;-73.87634564927077;40.85269738747467
New York Botanical Garden;-73.86359616216511;40.866431442479545
Brooklyn College;-73.9405010592653;40.63500990787274
American Museum of Natural History;-73.97392382985085;40.78149467433613
Top of The Rock;-73.97889371874827;40.75949575088413
Broadway;-73.98474998012098;40.759553497478194
New York Public Library;-73.98174916304426;40.75332036330739
Pont de Brooklyn;-73.92544743951025;40.78997151358878
